Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
462,Coby White,PG,22,CHI,18,0,19.6,2.7,6.8,0.39,1.4,4.5,0.321,1.2,2.3,0.524,0.496,0.6,0.8,0.714,0.2,2.1,2.3,1.9,0.7,0.2,0.8,1.7,7.3
463,Derrick White,SG,28,BOS,27,20,25.7,3.5,7.7,0.452,1.7,4.2,0.412,1.7,3.5,0.5,0.565,1.7,2,0.87,0.6,2.4,2.9,3.3,0.9,0.7,0.9,2.6,10.4
464,Jack White,SF,25,DEN,8,0,3.3,0.1,0.8,0.167,0,0.3,0,0.1,0.5,0.25,0.167,0,0,,0.3,0.4,0.6,0,0.1,0.3,0,0.5,0.3
465,Aaron Wiggins,SG,24,OKC,19,5,18.6,2.2,4.6,0.471,0.7,1.7,0.394,1.5,2.8,0.519,0.546,0.8,1.1,0.8,0.9,2.5,3.4,1.6,0.5,0.2,0.7,1.5,5.8
466,Andrew Wiggins,SF,27,GSW,22,22,32.8,7.4,14.5,0.511,3,6.8,0.45,4.4,7.7,0.565,0.616,1.2,2,0.628,1.5,3.6,5.1,2.2,1.4,0.8,1.4,2.9,19.1
467,Alondes Williams,SG,23,BRK,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0
468,Grant Williams,PF,24,BOS,26,13,28.8,3.3,5.9,0.556,1.7,3.6,0.462,1.6,2.3,0.7,0.696,0.9,1.1,0.857,0.8,3.7,4.5,1.7,0.7,0.4,0.8,2.7,9.1
469,Jalen Williams,SG,21,OKC,22,9,25.7,4.3,8.2,0.522,0.7,2.4,0.288,3.6,5.8,0.617,0.564,1.4,1.9,0.756,0.6,2.5,3.1,2.5,0.7,0.3,1.5,2.7,10.6
470,Jaylin Williams,PF,20,OKC,6,0,7.7,0.8,2.3,0.357,0,0.5,0,0.8,1.8,0.455,0.357,0.7,1,0.667,1,1,2,0.8,0.3,0,0.3,1.2,2.3
471,Kenrich Williams,PF,28,OKC,21,3,20.4,2.8,5.3,0.527,0.7,1.8,0.368,2.1,3.5,0.608,0.589,0.3,0.7,0.429,1.7,2.1,3.8,1.4,0.6,0.2,0.4,1.9,6.6
472,Mark Williams,C,21,CHO,3,0,4.3,1.3,2.3,0.571,0,0,,1.3,2.3,0.571,0.571,1,1,1,1.3,1.3,2.7,0,0,0,0.7,1,3.7
473,Patrick Williams,PF,21,CHI,26,25,26.2,3.5,7.7,0.462,1.3,3,0.436,2.2,4.7,0.479,0.548,1,1.1,0.931,1.1,2.9,4,0.9,0.6,1,1.5,2,9.4
474,Vince Williams Jr.,SG,22,MEM,6,0,6.7,0.5,1.8,0.273,0.2,1.3,0.125,0.3,0.5,0.667,0.318,0,0,,0.2,0.7,0.8,0.3,0.7,0.2,0,0.8,1.2
475,Ziaire Williams,SF,21,MEM,2,0,17.5,1.5,6,0.25,0,3,0,1.5,3,0.5,0.25,0,0,,0.5,4.5,5,1.5,1,0,1,1.5,3
476,Zion Williamson,PF,22,NOP,21,21,32.8,9.6,15.7,0.609,0.2,0.7,0.357,9.3,15,0.62,0.617,5.6,7.7,0.722,2,5.2,7.2,4.2,1.2,0.6,2.9,2.1,25
477,Justise Winslow,SF,26,POR,23,10,28.1,3,7.3,0.405,0.5,1.5,0.314,2.5,5.8,0.429,0.438,0.9,1.2,0.714,1.7,3.6,5.3,3.6,1,0.4,1.5,3.1,7.3
478,James Wiseman,C,21,GSW,12,0,12.7,2.6,4.4,0.585,0,0,,2.6,4.4,0.585,0.585,1.3,2.1,0.64,1,2.7,3.7,0.9,0.1,0.3,0.7,2.2,6.5
479,Christian Wood,PF,27,DAL,23,1,26,6.3,11.4,0.553,1.4,3.5,0.407,4.9,7.9,0.619,0.616,2.7,4,0.685,1.1,6.7,7.8,1.4,0.4,0.6,2.4,2.8,16.8
480,Delon Wright,PG,30,WAS,4,0,22.8,2.5,6,0.417,0.8,3,0.25,1.8,3,0.583,0.479,0.8,1.3,0.6,1,1.5,2.5,3.3,2.8,1,1,1.3,6.5
481,McKinley Wright IV,PG,24,DAL,1,0,5,1,4,0.25,0,1,0,1,3,0.333,0.25,0,0,,1,1,2,2,1,0,0,0,2
482,Thaddeus Young,PF,34,TOR,24,8,16.9,2.2,4.2,0.53,0.2,0.8,0.222,2,3.4,0.598,0.55,0.5,0.6,0.857,1.7,2.1,3.8,2,1,0.1,0.8,1.8,5.1
483,Trae Young,PG,24,ATL,25,25,35.6,8.8,21.6,0.408,2.1,7.2,0.287,6.7,14.3,0.469,0.456,7.4,8.3,0.894,0.7,2.1,2.8,9.6,0.8,0.2,3.8,1.4,27.1
484,Ivica Zubac,C,25,LAC,28,28,30.4,4.2,6.7,0.626,0,0,0,4.2,6.6,0.629,0.626,2.2,3.3,0.674,3.3,7.9,11.2,1.1,0.4,1.6,2.2,3.1,10.6
