Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
78,Jevon Carter,PG,27,MIL,26,21,26.2,3,7,0.432,1.5,3.5,0.413,1.6,3.5,0.451,0.536,0.6,0.7,0.842,0.7,2,2.7,3.4,1.3,0.6,1.3,2.4,8.2
79,Wendell Carter Jr.,C,23,ORL,15,15,32.9,5.8,11.3,0.515,1.2,3.5,0.346,4.6,7.8,0.59,0.568,3.8,4.6,0.826,2.1,6.9,9.1,3.3,0.5,0.5,2.6,3.2,16.6
80,Alex Caruso,PG,28,CHI,25,9,25.3,1.7,4.1,0.408,0.8,2.3,0.351,0.9,1.8,0.478,0.505,1,1.4,0.765,0.4,2.4,2.7,3.8,1.5,0.7,1.3,2.2,5.2
81,Julian Champagnie,SF,21,PHI,2,0,3.5,0,1,0,0,0.5,0,0,0.5,0,0,0,0,,0,0,0,0,0.5,0,0,0,0
82,Justin Champagnie,SF,21,TOR,3,0,3.7,1,1,1,0,0,,1,1,1,1,0,0,,0.3,1,1.3,0.3,0,0,0,0.3,2
83,Kennedy Chandler,PG,20,MEM,10,0,10.6,1.2,3.8,0.316,0.2,1.1,0.182,1,2.7,0.37,0.342,0.3,0.7,0.429,0.2,1.2,1.4,2.1,0.6,0.3,0.8,0.5,2.9
84,Max Christie,SG,19,LAL,11,0,11.4,1,2.5,0.393,0.7,1.7,0.421,0.3,0.8,0.333,0.536,0.3,0.4,0.75,0.1,2.2,2.3,0.5,0.3,0,0.3,0.5,3
85,Josh Christopher,SG,21,HOU,18,0,7,1.2,2.8,0.44,0.2,0.8,0.214,1.1,2,0.528,0.47,0.3,0.3,0.833,0.3,0.8,1.1,0.6,0.3,0.1,0.7,0.7,2.9
86,Brandon Clarke,PF,26,MEM,26,2,19.6,4.1,6.5,0.627,0,0.2,0.167,4,6.3,0.644,0.63,1.6,2.3,0.695,1.2,3.8,5,1.2,0.3,0.8,1.2,2.3,9.8
87,Jordan Clarkson,SG,30,UTA,28,28,32.7,7.2,16.7,0.432,2.6,7.6,0.338,4.6,9.1,0.51,0.509,2.8,3.4,0.823,1.1,2.7,3.9,4.9,0.4,0.3,2.8,2,19.8
88,Nic Claxton,C,23,BRK,25,25,28,5.3,7.3,0.727,0,0,0,5.3,7.3,0.731,0.727,1.2,2.8,0.423,2.6,6.1,8.7,1.2,0.7,2.2,1.4,3,11.8
89,Amir Coffey,SG,25,LAC,22,6,15.1,1.2,3.1,0.377,0.2,0.9,0.211,1,2.3,0.44,0.406,1.4,1.8,0.795,0.4,0.8,1.2,1.4,0.2,0.1,0.5,1.3,4
90,John Collins,PF,25,ATL,22,22,31.5,4.7,9.7,0.484,0.7,3.3,0.219,4,6.4,0.621,0.521,2.2,2.6,0.845,1.2,6.3,7.5,1.3,0.9,1.4,1.4,3.2,12.3
91,Zach Collins,PF,25,SAS,16,5,20.2,3.5,6.8,0.519,0.7,2.3,0.297,2.8,4.4,0.634,0.569,0.9,1.3,0.7,1.6,3.9,5.5,2.8,0.6,1,2.3,3.8,8.6
92,Mike Conley,PG,35,UTA,18,17,29,3.6,8.8,0.403,1.9,5,0.389,1.6,3.8,0.42,0.513,1.6,2,0.778,0.4,1.9,2.3,7.8,1.1,0.3,1.5,2.1,10.6
93,Pat Connaughton,SG,30,MIL,10,0,19.8,2.4,7.9,0.304,1.5,5.8,0.259,0.9,2.1,0.429,0.399,0.5,0.7,0.714,0.9,2.8,3.7,0.7,0.6,0.1,0.2,1,6.8
94,Robert Covington,PF,32,LAC,17,0,15.6,1.9,4.6,0.405,1.1,3,0.353,0.8,1.6,0.5,0.519,0.8,0.9,0.875,0.3,3.3,3.6,1.2,0.4,0.8,0.8,2.1,5.6
95,Torrey Craig,SF,32,PHO,24,16,24.4,3.2,6.6,0.484,1.4,3.5,0.393,1.8,3.1,0.587,0.588,0.5,0.6,0.8,1.9,3,5,1.5,0.5,0.8,0.8,2.3,8.3
96,Jarrett Culver,SG,23,ATL,7,1,16.9,1.9,4.3,0.433,0.1,1.3,0.111,1.7,3,0.571,0.45,1.1,1.6,0.727,1,3.6,4.6,0.7,0.7,0.3,0.7,1.7,5
97,Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3,3.6,0.837,1,5.2,6.2,6,0.8,0.6,3.3,2.8,19.9
98,Seth Curry,SG,32,BRK,17,0,23.4,3.5,7.6,0.462,1.8,4.4,0.419,1.7,3.3,0.518,0.581,0.8,0.9,0.933,0.2,2.1,2.4,2.5,0.6,0.2,1.2,1.9,9.7
99,Stephen Curry,PG,34,GSW,24,24,34.9,10.2,20.3,0.502,5.1,11.8,0.436,5.1,8.6,0.592,0.628,4.5,5,0.908,0.5,6,6.6,7,1,0.3,3.2,2.2,30
100,Dyson Daniels,PG,19,NOP,18,5,20.1,2.2,4.3,0.506,0.6,1.4,0.385,1.6,2.8,0.569,0.571,0.7,1.1,0.65,0.6,3.1,3.7,2.4,0.8,0.3,0.8,2.2,5.6
101,Anthony Davis,C,29,LAL,23,23,33.6,10.3,17.3,0.596,0.4,1.3,0.31,10,16.1,0.619,0.608,6.7,8,0.832,3.2,9.2,12.4,2.7,1.3,2.2,1.9,2.8,27.7
102,Johnny Davis,SG,20,WAS,8,0,5.6,0.4,1.4,0.273,0,0.3,0,0.4,1.1,0.333,0.273,0.4,0.4,1,0.1,0.5,0.6,0.3,0,0.1,0.1,1.5,1.1
103,Terence Davis,SG,25,SAC,21,1,13,2.3,5.5,0.426,1.3,3.5,0.378,1,2,0.512,0.548,0.7,0.8,0.875,0.4,2.6,3,1.4,0.8,0.2,0.7,1.9,6.7
104,JD Davison,PG,20,BOS,3,0,2.7,0.3,1.3,0.25,0,0.7,0,0.3,0.7,0.5,0.25,0,0,,0,0.3,0.3,0.3,0.3,0,0.3,0,0.7
105,Dewayne Dedmon,C,33,MIA,22,0,12.3,2.5,5,0.514,0.4,1.4,0.3,2.1,3.6,0.595,0.555,1.1,1.5,0.735,1,2.7,3.6,0.6,0.2,0.5,0.7,2,6.6
106,Matthew Dellavedova,PG,32,SAC,12,0,7.4,0.6,1.8,0.333,0.3,0.7,0.375,0.3,1.1,0.308,0.405,0.1,0.3,0.333,0.1,0.3,0.4,1.6,0.5,0,0.5,0.8,1.5
107,DeMar DeRozan,SF,33,CHI,26,26,35.2,9.2,18,0.507,0.4,1.3,0.314,8.7,16.7,0.523,0.519,7.2,8.1,0.891,0.5,4.5,5,4.8,0.8,0.4,2,2.7,26
108,Moussa Diabaté,PF,21,LAC,5,0,10.6,1.4,2.2,0.636,0,0,,1.4,2.2,0.636,0.636,1.4,1.6,0.875,2,1.8,3.8,0.2,0.4,0.2,0.6,1,4.2
109,Mamadi Diakite,PF,26,CLE,11,2,7.5,0.9,1.9,0.476,0.4,1.1,0.333,0.5,0.8,0.667,0.571,0,0,,0.3,0.7,1,0.2,0.2,0.5,0.5,1,2.2
110,Hamidou Diallo,SG,24,DET,25,0,15.2,2.4,5,0.484,0.1,0.5,0.154,2.3,4.4,0.523,0.492,1.4,2.2,0.636,0.9,1.9,2.8,0.9,0.5,0.2,0.8,2.1,6.3
111,Gorgui Dieng,C,33,SAS,11,1,10.6,1.5,3.4,0.432,0.7,2.5,0.296,0.7,0.9,0.8,0.541,0.3,0.4,0.75,0.8,2,2.8,1.7,0.1,0.5,1,1.7,3.9
112,Ousmane Dieng,SF,19,OKC,14,0,15.7,1.8,4.2,0.424,0.7,2.4,0.294,1.1,1.8,0.6,0.508,0.1,0.3,0.25,0.4,2.4,2.9,1.4,0.4,0.3,0.5,0.9,4.4
113,Spencer Dinwiddie,PG,29,DAL,26,26,31.5,5.9,12.8,0.461,2.6,6.4,0.41,3.3,6.4,0.512,0.563,2.3,2.8,0.833,0.4,2.7,3.2,5.1,1,0.3,1.6,2.3,16.7
114,Donte DiVincenzo,SG,26,GSW,19,1,17.9,1.7,4.5,0.384,1,3.1,0.322,0.7,1.4,0.519,0.494,0.5,0.7,0.769,0.8,2.8,3.6,2.4,1.1,0.1,1.3,2,5
115,Luka Dončić,PG,23,DAL,24,24,36.8,11.3,22.6,0.501,2.8,8.3,0.343,8.5,14.4,0.591,0.564,7.4,10.4,0.711,0.8,7.6,8.5,8.8,1.8,0.7,3.5,2.8,32.9
116,Tyler Dorsey,SG,26,DAL,1,0,4,4,4,1,1,1,1,3,3,1,1.125,0,0,,1,1,2,0,0,0,0,0,9
117,Luguentz Dort,SG,23,OKC,25,25,30.2,4.9,12.2,0.401,1.7,5.4,0.313,3.2,6.8,0.471,0.47,2.4,3.2,0.772,1.6,2.9,4.5,2.3,1.1,0.4,1.4,3.3,13.9
118,Ayo Dosunmu,PG,23,CHI,25,21,27.6,4.2,8,0.517,1,2.9,0.342,3.2,5.1,0.617,0.58,0.9,1,0.88,0.6,2.8,3.3,2.8,0.7,0.4,1.5,2.5,10.2
119,Devon Dotson,PG,23,WAS,3,0,12,0.3,2,0.167,0.3,1,0.333,0,1,0,0.25,0,0,,1.7,1,2.7,1.7,0.7,0,0.7,2.3,1
120,Jeff Dowtin,PG,25,TOR,9,0,7.4,1,2,0.5,0.1,0.4,0.25,0.9,1.6,0.571,0.528,0.1,0.1,1,0.4,0.7,1.1,0.9,0,0.1,0.1,0.4,2.2
121,Goran Dragić,PG,36,CHI,25,0,17.1,3,7,0.431,1.1,2.7,0.397,1.9,4.2,0.453,0.509,0.8,1.2,0.655,0.4,1.1,1.5,3.3,0.3,0.2,1.3,1.4,7.8
122,Andre Drummond,C,29,CHI,20,0,14.2,3,5.3,0.557,0,0.1,0,3,5.2,0.567,0.557,1,1.7,0.588,2.5,5,7.5,0.8,0.7,0.4,1.2,2.1,6.9
123,Chris Duarte,SF,25,IND,9,5,19.7,3.1,7.9,0.394,1.4,4.2,0.342,1.7,3.7,0.455,0.486,1.2,1.3,0.917,0.4,1.7,2.1,1,0.1,0.4,0.9,1.8,8.9
124,David Duke Jr.,SG,23,BRK,14,0,9,1.4,3.1,0.442,0,0.4,0,1.4,2.6,0.514,0.442,0.3,0.6,0.5,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3
125,Kevin Durant,PF,34,BRK,27,27,36.8,10.8,19.4,0.556,1.6,4.7,0.339,9.2,14.7,0.626,0.598,6.9,7.4,0.92,0.3,6.3,6.6,5.4,0.7,1.7,3.4,2.4,30
126,Jalen Duren,C,19,DET,26,2,22,2.8,4.6,0.622,0,0,0,2.8,4.5,0.627,0.622,0.9,1.8,0.489,2.9,4.3,7.3,0.6,0.6,0.8,1.1,2.4,6.6
127,Tari Eason,PF,21,HOU,26,0,18.6,3.2,7.5,0.433,0.7,1.9,0.38,2.5,5.5,0.451,0.482,1.2,1.5,0.842,2.2,3.1,5.3,0.8,1.3,0.4,0.8,2.2,8.4
128,Anthony Edwards,SG,21,MIN,26,26,36.5,8.2,18,0.455,2.5,7.2,0.351,5.7,10.8,0.525,0.526,4,5.1,0.774,0.7,5.1,5.7,4,1.9,0.3,3.2,2.8,22.9
129,Kessler Edwards,SF,22,BRK,13,1,5.7,0.5,1.7,0.273,0.2,0.8,0.182,0.3,0.8,0.364,0.318,0.1,0.2,0.5,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,1.2
130,Keon Ellis,SG,23,SAC,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0.5,0
131,Joel Embiid,C,28,PHI,18,18,35.8,11.1,20.8,0.535,1.1,3.4,0.328,10,17.4,0.575,0.561,10.1,11.8,0.85,1.8,8.1,9.8,4.8,1.1,1.6,4.2,3.3,33.4
132,Drew Eubanks,C,25,POR,24,3,17.5,2.4,3.3,0.722,0,0.1,0.5,2.3,3.2,0.727,0.728,1,1.4,0.676,1.5,2.5,4,0.8,0.5,1,0.7,1.9,5.8
133,Bruno Fernando,C,24,HOU,9,3,13.2,2.3,3.6,0.656,0,0.1,0,2.3,3.4,0.677,0.656,0.9,1.3,0.667,1.8,2.8,4.6,1.2,0.4,0.8,0.7,2.3,5.6
134,Dorian Finney-Smith,PF,29,DAL,26,26,32.2,3,7.5,0.405,1.8,5.3,0.331,1.3,2.2,0.589,0.523,0.5,0.8,0.667,1.3,2.7,4,1.1,1.1,0.5,1,1.8,8.4
135,Malachi Flynn,PG,24,TOR,16,1,10.9,2,4.6,0.432,1.1,2.3,0.486,0.9,2.3,0.378,0.554,0.6,0.7,0.909,0.2,1,1.2,1.1,0.4,0.1,0.6,1.6,5.8
136,Simone Fontecchio,SF,27,UTA,16,0,9.6,1.6,3.7,0.424,1.1,2.6,0.415,0.5,1.1,0.444,0.568,0.6,0.9,0.643,0.6,0.8,1.3,0.4,0.1,0.3,0.6,0.9,4.8
137,Bryn Forbes,SG,29,MIN,12,0,10.3,1.3,3.8,0.333,0.5,2,0.25,0.8,1.8,0.429,0.4,0.6,0.6,1,0.3,0.3,0.5,0.8,0.6,0,0.4,0.8,3.6
138,Trent Forrest,PG,24,ATL,10,1,12.4,1.3,2.3,0.565,0,0,,1.3,2.3,0.565,0.565,0.2,0.3,0.667,0.4,0.8,1.2,1.4,0.4,0.2,0.3,0.9,2.8
139,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
140,Evan Fournier,SG,30,NYK,13,7,20,2.4,6.9,0.344,1.5,4.4,0.333,0.9,2.5,0.364,0.45,0.7,0.8,0.818,0.2,1.9,2.1,1.7,0.7,0.2,1.1,2.2,6.9
141,De'Aaron Fox,PG,25,SAC,22,22,31.7,8.4,16.6,0.507,1.9,5.1,0.366,6.5,11.5,0.569,0.563,4.1,5,0.826,0.5,4.5,5,5.6,1,0.5,2.5,2.5,22.8
142,Markelle Fultz,SG,24,ORL,7,7,24.9,3.9,8.7,0.443,0.7,1.6,0.455,3.1,7.1,0.44,0.484,1.3,1.7,0.75,0.7,2,2.7,4.1,0.7,0.1,2.7,2.6,9.7
143,Wenyen Gabriel,PF,25,LAL,20,2,13.6,2,3.4,0.597,0.2,0.7,0.308,1.8,2.7,0.667,0.627,0.9,1.1,0.818,1.3,2.4,3.7,0.7,0.6,0.5,0.7,1.8,5.1
144,Daniel Gafford,C,24,WAS,27,0,13.6,2.4,3.2,0.736,0,0,,2.4,3.2,0.736,0.736,1.1,1.9,0.577,1.7,2.3,4,0.4,0.3,1.1,0.9,1.7,5.9
145,Darius Garland,PG,23,CLE,21,21,35.8,7.3,16.9,0.431,2.7,6.8,0.394,4.6,10.1,0.455,0.51,4.3,5,0.875,0.3,2,2.2,7.8,1.3,0.2,3.4,2,21.6
146,Usman Garuba,PF,20,HOU,24,1,15,1.4,2.5,0.541,0.3,0.5,0.538,1.1,2,0.542,0.598,0.6,1,0.583,1.6,3.1,4.8,1,0.8,0.7,0.8,1.8,3.6
147,Luka Garza,C,24,MIN,2,0,2.5,0.5,1.5,0.333,0,0.5,0,0.5,1,0.5,0.333,1,1,1,0.5,0,0.5,0,0,0,0,0.5,2
148,Rudy Gay,SF,36,UTA,15,0,15.7,1.9,5.3,0.35,0.7,3,0.244,1.1,2.3,0.486,0.419,0.3,0.5,0.5,0.6,2.8,3.4,0.8,0.5,0.5,0.7,1.3,4.7
149,Paul George,SF,32,LAC,20,20,34.1,8.3,18.1,0.459,3,7.7,0.383,5.4,10.4,0.514,0.54,4.1,4.7,0.872,0.7,5.4,6.1,4.7,1.5,0.5,3.5,2.6,23.7
150,Taj Gibson,PF,37,WAS,15,0,6.6,0.9,2.1,0.452,0.1,0.5,0.25,0.8,1.5,0.522,0.484,0.5,0.7,0.8,0.5,0.9,1.4,0.3,0.3,0.1,0.3,1.1,2.5
151,Josh Giddey,SG,20,OKC,23,23,30.7,6.3,14,0.447,1,3.2,0.301,5.3,10.8,0.49,0.481,1.2,1.7,0.737,1.7,6.3,7.9,5.4,0.7,0.5,3.2,2.2,14.7
152,Shai Gilgeous-Alexander,SG,24,OKC,24,24,35.5,10.3,20.5,0.501,1,3,0.315,9.3,17.4,0.533,0.524,9.3,10,0.929,0.9,3.7,4.6,5.9,1.7,1.1,3.3,2.5,30.8
153,Anthony Gill,PF,30,WAS,23,4,11.4,1.2,2.1,0.551,0.1,0.6,0.154,1.1,1.6,0.694,0.571,0.6,0.7,0.867,0.6,1,1.7,0.5,0.2,0.2,0.2,1.4,3
154,Rudy Gobert,C,30,MIN,24,24,31,5.3,8,0.656,0,0.1,0,5.3,7.9,0.667,0.656,3.6,5.1,0.707,3.6,8.2,11.8,0.9,0.9,1.3,1.6,3.1,14.1
155,Jordan Goodwin,PG,24,WAS,20,2,21.8,3,6,0.492,0.9,1.9,0.474,2.1,4.1,0.5,0.567,0.9,1.3,0.72,1.3,2.7,4,2.9,1.3,0.7,1,1.9,7.7
156,Aaron Gordon,PF,27,DEN,23,23,29.4,6.5,10.5,0.616,1.1,2.8,0.385,5.4,7.7,0.701,0.667,2.7,4.1,0.642,2.3,4,6.4,2.1,0.7,0.7,1.4,2,16.7
157,Eric Gordon,SG,34,HOU,22,22,30.1,4.2,9.5,0.44,1.9,5.4,0.347,2.3,4.1,0.56,0.538,2,2.3,0.863,0.3,1.7,2,2.5,0.7,0.4,1.9,0.7,12.2
158,Devonte' Graham,PG,27,NOP,26,0,15.7,1.7,4.6,0.37,1.4,3.8,0.374,0.3,0.8,0.35,0.525,0.8,1,0.808,0.2,1.2,1.5,2.1,0.5,0.3,0.6,0.8,5.6
159,Jerami Grant,PF,28,POR,25,25,36.5,7.4,15.6,0.472,2.8,6.1,0.451,4.6,9.5,0.485,0.56,5,6.4,0.788,0.9,3.3,4.2,2.8,0.8,0.8,1.9,2.3,22.5
160,A.J. Green,SG,23,MIL,9,0,5.3,0.8,1.6,0.5,0.7,1.3,0.5,0.1,0.2,0.5,0.714,0.3,0.3,1,0.1,0.7,0.8,0.2,0.1,0,0.1,0.8,2.6
161,Draymond Green,PF,32,GSW,24,24,31.3,3.5,6.4,0.556,0.5,1.5,0.297,3.1,4.8,0.638,0.592,1.1,1.6,0.711,0.7,5.5,6.2,6.8,0.9,0.8,2.4,3.1,8.7
162,Jalen Green,SG,20,HOU,26,26,34.4,7.4,17.8,0.418,2.4,7.2,0.33,5,10.5,0.478,0.485,4.4,5.5,0.797,0.6,3.4,4,3.8,0.8,0.2,3.2,1.7,21.6
163,JaMychal Green,PF,32,GSW,24,1,14.9,2.3,4.5,0.5,0.3,1.5,0.189,2,3,0.662,0.532,0.6,0.8,0.778,1.4,2.4,3.8,0.7,0.5,0.3,0.9,2,5.4
164,Javonte Green,SG,29,CHI,23,1,16.3,2.3,3.9,0.584,0.4,1.2,0.357,1.8,2.7,0.689,0.64,0.9,1.3,0.645,1,2.1,3.1,0.8,0.9,0.7,0.7,1.7,5.8
165,Jeff Green,PF,36,DEN,19,3,19.6,2.7,5.2,0.525,0.4,1.3,0.28,2.4,3.9,0.608,0.561,1.6,2.2,0.756,0.7,1.8,2.6,1.3,0.4,0.2,1,2,7.5
166,Josh Green,SG,22,DAL,25,1,20.3,2.4,4.1,0.583,1,2.2,0.444,1.4,2,0.735,0.699,1.3,1.8,0.711,0.9,1.4,2.3,1.2,0.9,0,0.7,2.5,7
167,AJ Griffin,SF,19,ATL,23,6,20.7,4,8.9,0.446,1.6,4.7,0.33,2.4,4.1,0.579,0.534,0.5,0.5,0.917,0.7,1.3,2,1,1.1,0.1,0.9,1.1,10
168,Blake Griffin,PF,33,BOS,11,6,15.8,2.2,3.7,0.585,0.7,1.5,0.5,1.5,2.3,0.64,0.683,1.1,1.5,0.75,1.2,3.2,4.4,0.9,0.3,0.1,0.5,2.2,6.2
169,Quentin Grimes,SG,22,NYK,17,12,23.4,2.7,5.8,0.465,1.1,3.3,0.321,1.6,2.5,0.651,0.556,0.6,0.6,0.909,0.8,2.4,3.2,1.7,0.6,0.4,0.9,2.6,7.1
170,Rui Hachimura,PF,24,WAS,16,0,23.5,4.8,9.9,0.481,0.8,2.3,0.333,4,7.6,0.525,0.519,1.3,1.8,0.724,0.8,4.1,4.8,1.1,0.3,0.5,1.4,1.1,11.6
171,Tyrese Haliburton,PG,22,IND,25,25,33.5,7.4,15.2,0.488,2.9,7.1,0.41,4.5,8,0.557,0.584,2.4,2.8,0.859,0.7,3.6,4.3,11,1.8,0.3,2.7,1.1,20.2
172,Jordan Hall,SF,21,SAS,9,0,9.2,1,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.375,0.8,1,0.778,0.3,1,1.3,1.2,0.1,0,0.8,0.7,3.1
173,R.J. Hampton,PG,21,ORL,21,0,15.6,2.2,5,0.438,0.8,2.3,0.347,1.4,2.7,0.518,0.519,1.3,1.5,0.871,0.4,1.2,1.6,1.5,0.8,0.2,0.9,1,6.5
174,Tim Hardaway Jr.,SG,30,DAL,25,8,25.2,4.2,11.3,0.369,2.8,7.6,0.361,1.4,3.6,0.385,0.491,2,2.5,0.79,0.3,2.3,2.6,1.8,0.8,0.2,1,1.3,13
175,James Harden,SG,33,PHI,12,12,37.9,6.8,16.1,0.425,2.5,7.3,0.345,4.3,8.8,0.491,0.503,6,6.6,0.911,0.7,6,6.7,10.4,1.2,0.7,3.5,2.1,22.2
176,Jaden Hardy,SG,20,DAL,6,0,7,1.8,4.7,0.393,0.2,1.5,0.111,1.7,3.2,0.526,0.411,1.2,1.2,1,0,0.7,0.7,0.3,0.2,0.2,0.5,1.2,5
177,Ron Harper Jr.,SF,22,TOR,2,0,4,1,2,0.5,1,1.5,0.667,0,0.5,0,0.75,0,0,,0,0.5,0.5,0,0,0,0,0,3
178,Montrezl Harrell,C,29,PHI,22,5,11.6,1.7,3.1,0.551,0,0,,1.7,3.1,0.551,0.551,1.6,2.3,0.72,1,1.8,2.9,0.6,0.2,0.4,0.6,1.2,5.1
179,Gary Harris,SG,28,ORL,6,3,25.8,3.8,8,0.479,1.7,3.8,0.435,2.2,4.2,0.52,0.583,1,1,1,0.8,1.8,2.7,2,0.7,0.3,1.5,2.2,10.3
180,Joe Harris,SG,31,BRK,25,16,26.5,3.1,7.6,0.407,2,5.2,0.374,1.1,2.3,0.483,0.537,0.5,0.7,0.706,0.5,2.6,3.1,1.7,0.6,0.3,0.6,2.6,8.6
181,Kevon Harris,SG,25,ORL,20,0,12.4,1.2,3.2,0.375,0.4,1.1,0.364,0.8,2.1,0.381,0.438,1.1,1.3,0.846,1,1.2,2.2,0.5,0.4,0.1,0.8,1.3,3.9
182,Tobias Harris,PF,30,PHI,24,24,34.4,6.5,13.4,0.481,2.2,5.4,0.411,4.3,8,0.528,0.564,1.7,2,0.851,0.9,5.5,6.3,2.7,1.3,0.5,1.5,2.3,16.8
183,Josh Hart,SG,27,POR,24,24,35.5,3.6,7.5,0.486,0.7,2,0.362,2.9,5.5,0.53,0.534,1.8,2.4,0.741,2,6.4,8.3,4.2,1.5,0.1,1.8,2.8,9.8
184,Isaiah Hartenstein,C,24,NYK,27,7,20.9,2.7,4.9,0.549,0.2,0.8,0.227,2.5,4.1,0.613,0.568,0.8,0.9,0.84,2.9,4,6.9,0.8,0.8,0.9,0.9,2.6,6.4
185,Udonis Haslem,PF,42,MIA,4,0,6,0.3,1.5,0.167,0,0.3,0,0.3,1.3,0.2,0.167,0.3,0.5,0.5,0.5,0.5,1,0,0.3,0.3,0,1,0.8
186,Sam Hauser,PF,25,BOS,27,0,16.6,2.4,4.9,0.489,1.9,4.3,0.452,0.4,0.6,0.75,0.687,0.3,0.3,0.778,0.4,2.1,2.5,0.7,0.3,0.3,0.3,1.4,6.9
187,Jaxson Hayes,C,22,NOP,9,0,7.4,0.3,1.8,0.188,0,0.9,0,0.3,0.9,0.375,0.188,0.4,0.8,0.571,0.3,1.4,1.8,0.6,0.3,0.1,0.3,0.7,1.1
188,Killian Hayes,PG,21,DET,29,16,24.3,3.3,8.8,0.371,1,2.9,0.329,2.3,5.9,0.392,0.426,0.6,0.7,0.85,0.4,2.2,2.7,5.1,1.1,0.4,1.7,3,8.1
189,Gordon Hayward,SF,32,CHO,11,11,32.3,5.9,13.3,0.445,1.5,3.8,0.381,4.5,9.5,0.471,0.5,3,3.9,0.767,0.6,3.6,4.3,4.4,0.6,0.3,2.5,0.9,16.3
190,Juancho Hernangómez,PF,27,TOR,16,3,16.9,1.8,3.5,0.518,0.6,1.8,0.345,1.2,1.7,0.704,0.607,0.2,0.4,0.429,0.8,3.3,4.1,0.8,0.6,0.2,0.6,1.3,4.4
191,Willy Hernangómez,C,28,NOP,11,0,9.1,1.5,3.2,0.486,0,0.3,0,1.5,2.9,0.531,0.486,1.6,2,0.818,1.4,2.3,3.6,0.5,0.3,0.2,1,0.9,4.7
192,Tyler Herro,SG,23,MIA,19,19,34.3,7.3,16.1,0.451,2.8,7.3,0.381,4.5,8.8,0.509,0.538,2.8,3.2,0.883,0.6,6.1,6.6,4.2,0.8,0.5,2.6,1.6,20.1
193,Buddy Hield,SG,30,IND,27,27,32,6.3,14.4,0.436,3.6,9.5,0.383,2.6,4.9,0.538,0.562,1.5,1.7,0.851,1,3.6,4.7,2.6,1,0.4,2.1,2,17.6
194,Haywood Highsmith,SF,26,MIA,17,1,18.4,1.4,4.2,0.324,0.6,2.2,0.297,0.7,2,0.353,0.401,0.2,0.6,0.4,0.9,3.1,4,0.6,0.7,0.4,0.7,1,3.6
195,George Hill,PG,36,MIL,26,0,19.9,1.6,3.8,0.418,0.6,2,0.314,1,1.8,0.532,0.5,1,1.5,0.684,0.3,1.6,1.9,2.5,0.4,0.1,0.8,1.2,4.8
196,Malcolm Hill,SF,27,CHI,3,0,0.3,0,0,,0,0,,0,0,,,0,0,,0,0.3,0.3,0,0,0,0,0,0
197,Aaron Holiday,PG,26,ATL,24,2,17.6,1.8,4.2,0.42,0.7,1.6,0.421,1.1,2.6,0.419,0.5,0.5,0.7,0.813,0.5,1,1.5,1.4,0.7,0.2,0.9,1.6,4.7
198,Jrue Holiday,PG,32,MIL,21,20,32.9,7.2,16,0.452,2.2,6.2,0.359,5,9.8,0.512,0.522,2.4,2.7,0.895,1.2,4,5.3,7.4,1.5,0.4,3.2,2,19.1
199,Justin Holiday,SG,33,ATL,21,0,16.3,2,5,0.387,1.2,3.5,0.342,0.8,1.6,0.485,0.505,0,0,,0,0.9,0.9,0.8,0.2,0.4,0.6,1.5,5.1
200,Richaun Holmes,PF,29,SAC,13,0,9.8,1.3,1.9,0.68,0.1,0.2,0.5,1.2,1.8,0.696,0.7,0.3,0.5,0.667,0.6,1.3,1.9,0,0.2,0.1,0.4,1.5,3
201,Al Horford,C,36,BOS,20,20,31.6,4,7.4,0.537,2.1,4.4,0.466,1.9,3,0.644,0.677,0.3,0.4,0.625,1,5.3,6.3,2.8,0.5,1,0.8,2,10.2
202,Talen Horton-Tucker,SG,22,UTA,27,1,17.2,2.8,7.2,0.387,0.7,3,0.238,2.1,4.2,0.491,0.436,1.1,1.5,0.732,0.5,2.3,2.7,2.5,0.8,0.4,1.3,1.5,7.4
203,Danuel House Jr.,SF,29,PHI,22,2,18.4,1.6,3.4,0.48,0.7,2,0.349,1,1.5,0.656,0.58,1,1.3,0.75,0.2,1.8,2,0.8,0.3,0.2,0.6,1.4,4.9
204,Caleb Houstan,SF,20,ORL,21,1,18.7,1.4,3.8,0.363,1,2.7,0.351,0.4,1.1,0.391,0.488,0.5,0.6,0.846,0.7,1.9,2.6,0.8,0.2,0.1,0.3,1.7,4.2
205,Trevor Hudgins,PG,23,HOU,1,0,4,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3
